año,descripción,precio,cilindros,link
2015,Smart,Fortwo,169000,3,https://soloautos.mx/usado/autos/2015-Smart-Fortwo-Cabriolet-Passion/SA-AD-89097931
2012,Toyota,Yaris,139999,4,https://soloautos.mx/usado/autos/2012-Toyota-Yaris-Sedan-Premium-AT/SA-AD-89102375
2015,Nissan,Note,180000,4,https://soloautos.mx/usado/autos/2015-Nissan-Note-1-6-Advance-TM/SA-AD-89078964
2016,Volkswagen,Vento,159900,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Vento-Startline-Tiptronic/SA-AD-89045804
2017,Volkswagen,up!,199900,3,https://soloautos.mx/usado/autos/2017-Volkswagen-up!-cross-up!/SA-AD-89102693
2012,Nissan,Versa,137000,4,https://soloautos.mx/usado/autos/2012-Nissan-Versa-Sense-TA-AC/SA-AD-89067740
2015,Mitsubishi,Lancer,185000,4,https://soloautos.mx/usado/autos/2015-Mitsubishi-Lancer-ES-CVT/SA-AD-89043346
2017,Nissan,Versa,195000,4,https://soloautos.mx/usado/autos/2017-Nissan-Versa-Sense-MT-AC/SA-AD-89043354
2014,Toyota,Corolla,177900,4,https://soloautos.mx/usado/autos/2014-Toyota-Corolla-BASE-MT/SA-AD-89102372
2016,Ford,Fiesta,149000,4,https://soloautos.mx/usado/autos/2016-Ford-Fiesta-S-MT-4-ptas/SA-AD-89103153
2017,Chevrolet,Spark,159000,4,https://soloautos.mx/usado/autos/2017-Chevrolet-Spark-LTZ-C-TM/SA-AD-89053691
2016,Renault,Fluence,195900,4,https://soloautos.mx/usado/autos/2016-Renault-Fluence-Expression-CVT/SA-AD-88956804
2015,Nissan,Versa,165000,4,https://soloautos.mx/usado/autos/2015-Nissan-Versa-Advance-TA-AC/SA-AD-89093169
2016,Volkswagen,Jetta,195000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Jetta-2-0-Std-/SA-AD-89001329
2013,Volkswagen,Jetta,125000,4,https://soloautos.mx/usado/autos/2013-Volkswagen-Jetta-2-0-TM/SA-AD-89097171
2013,Volkswagen,Jetta,125000,4,https://soloautos.mx/usado/autos/2013-Volkswagen-Jetta-2-0-TM/SA-AD-89097171
2014,Chevrolet,Aveo,130000,4,https://soloautos.mx/usado/autos/2014-Chevrolet-Aveo-M-LS-Manual,-aire-acondicionado/SA-AD-89103525
2012,Mazda,CX-7,185000,4,https://soloautos.mx/usado/autos/2012-Mazda-CX-7-i-Sport-2WD/SA-AD-88889852
2018,Nissan,Versa,199900,4,https://soloautos.mx/usado/autos/2018-Nissan-Versa-Sense-MT-AC/SA-AD-89085830
2013,Nissan,Versa,135000,4,https://soloautos.mx/usado/autos/2013-Nissan-Versa-Advance-TM-AC/SA-AD-89077370
2016,Ford,Figo,139000,4,https://soloautos.mx/usado/autos/2016-Ford-Figo-FIGO-IMPULSE-TM-A-A-5-PTAS/SA-AD-89065273
2017,Ford,Figo,185000,4,https://soloautos.mx/usado/autos/2017-Ford-Figo-IMPULSE-TA-A-A-5-PTAS/SA-AD-89102240
2013,Honda,Civic,180000,4,https://soloautos.mx/usado/autos/2013-Honda-Civic-EX-AT-2drs/SA-AD-89088025
2012,SEAT,Ibiza,115000,4,https://soloautos.mx/usado/autos/2012-SEAT-Ibiza-Ibiza-Reference-4-Ptas-MT/SA-AD-89055448
2014,Volkswagen,Clasico,149000,4,https://soloautos.mx/usado/autos/2014-Volkswagen-Clasico-2-0-CL-Tiptronic/SA-AD-89076663
2016,Volkswagen,CrossFox,199000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-CrossFox-CrossFox-TM/SA-AD-89089307
2016,Volkswagen,Jetta,178000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Jetta-GLI-DSG/SA-AD-89076938
2012,Chevrolet,Aveo,118500,4,https://soloautos.mx/usado/autos/2012-Chevrolet-Aveo-AT-G/SA-AD-89092829
2016,Renault,Duster,165000,4,https://soloautos.mx/usado/autos/2016-Renault-Duster-2-0-Expression-AT/SA-AD-89092993
2015,Toyota,Yaris,159500,4,https://soloautos.mx/usado/autos/2015-Toyota-Yaris-Sedan-Premium-AT/SA-AD-89081197
2013,Dodge,Journey,190000,4,https://soloautos.mx/usado/autos/2013-Dodge-Journey-SXT -2-4L-5-pasajeros/SA-AD-89091497
2012,Ford,Fusion,142000,4,https://soloautos.mx/usado/autos/2012-Ford-Fusion-SE-l4-TA/SA-AD-89096931
2012,Jeep,Compass,179000,4,https://soloautos.mx/usado/autos/2012-Jeep-Compass-Sport-FWD-CVT/SA-AD-89098848
2016,Nissan,Tiida,183000,4,https://soloautos.mx/usado/autos/2016-Nissan-Tiida-Sedan-Sense-TA-AC-1-8/SA-AD-89065714
2013,Nissan,Versa,129000,4,https://soloautos.mx/usado/autos/2013-Nissan-Versa-Advance-TM-AC/SA-AD-89066425
2014,Chevrolet,Aveo,110000,4,https://soloautos.mx/usado/autos/2014-Chevrolet-Aveo-J-LS-Automático,-AC-y-radio/SA-AD-89100936
2012,Jeep,Patriot,189000,4,https://soloautos.mx/usado/autos/2012-Jeep-Patriot-Sport-FWD-CVT/SA-AD-89089387
2013,Peugeot,207,119500,4,https://soloautos.mx/usado/autos/2013-Peugeot-207-1-6-Allure-5p-MT/SA-AD-88920547
2012,Volkswagen,Clasico,124500,4,https://soloautos.mx/usado/autos/2012-Volkswagen-Clasico-2-0-CL-Team-Tiptronic/SA-AD-89053761
2016,Volkswagen,Gol,133000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Gol-5-Ptas--CL-A-A/SA-AD-88968963
2013,Volkswagen,Passat,179000,5,https://soloautos.mx/usado/autos/2013-Volkswagen-Passat-Comfortline-Tiptronic/SA-AD-89096939
2017,Chevrolet,Aveo,157000,4,https://soloautos.mx/usado/autos/2017-Chevrolet-Aveo-LT-F-MT/SA-AD-89073926
2012,Honda,Accord,179000,4,https://soloautos.mx/usado/autos/2012-Honda-Accord-EX-L-L4-AT/SA-AD-89088739
Impecable,cbr,500rr,144900,2,https://soloautos.mx/usado/motos/Impecable-cbr-500rr/SA-AD-89095217
2016,Toyota,Yaris,174000,4,https://soloautos.mx/usado/autos/2016-Toyota-Yaris-Sedan-Premium-AT/SA-AD-89102661
2014,Chevrolet,Captiva,189500,6,https://soloautos.mx/usado/autos/2014-Chevrolet-Captiva-Sport-LT-Paq--D/SA-AD-89096617
2016,Dodge,Attitude,169500,3,https://soloautos.mx/usado/autos/2016-Dodge-Attitude-SE-TA/SA-AD-89081336
2014,Dodge,Journey,199000,4,https://soloautos.mx/usado/autos/2014-Dodge-Journey-SXT -2-4L-5-pasajeros/SA-AD-89088306
2013,Volkswagen,Clasico,134500,4,https://soloautos.mx/usado/autos/2013-Volkswagen-Clasico-2-0-GL-Team-Tiptronic/SA-AD-89100055
2016,Volkswagen,Vento,159000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Vento-Startline-Tiptronic/SA-AD-89077951
2013,Chevrolet,Aveo,95000,4,https://soloautos.mx/usado/autos/2013-Chevrolet-Aveo-A/SA-AD-89082615
2015,Mazda,Mazda3,195000,4,https://soloautos.mx/usado/autos/2015-Mazda-Mazda3-Sedan-i-TA/SA-AD-89080191
2012,Nissan,Versa,135000,4,https://soloautos.mx/usado/autos/2012-Nissan-Versa-Advance-TM/SA-AD-89103527
2012,Dodge,Journey,175000,4,https://soloautos.mx/usado/autos/2012-Dodge-Journey-SE/SA-AD-89102580
2015,Hyundai,Grand,126000,4,https://soloautos.mx/usado/autos/2015-Hyundai-Grand-i10-GL-Mid-Manual-1-2L/SA-AD-89092175
2016,Nissan,Versa,180000,4,https://soloautos.mx/usado/autos/2016-Nissan-Versa-Advance-AT-AC/SA-AD-89103616
2016,Volkswagen,Gol,126000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Gol-Sedan-CL/SA-AD-89079857
2015,Chevrolet,Aveo,129000,4,https://soloautos.mx/usado/autos/2015-Chevrolet-Aveo-C-LT,-Automático-con-A-A,-alarma,-radio,/SA-AD-89075894
2016,Dodge,Attitude,155900,3,https://soloautos.mx/usado/autos/2016-Dodge-Attitude-1-2-SE-CVT/SA-AD-89092479
2013,Honda,CR-Z,185000,4,https://soloautos.mx/usado/autos/2013-Honda-CR-Z-/SA-AD-89064982
2016,Volkswagen,up!,159000,3,https://soloautos.mx/usado/autos/2016-Volkswagen-up!-cross-up!/SA-AD-89057907
2014,Ford,Fiesta,149000,4,https://soloautos.mx/usado/autos/2014-Ford-Fiesta-S-AT/SA-AD-89065584
2013,Ford,Focus,180000,4,https://soloautos.mx/usado/autos/2013-Ford-Focus-SE-Plus-AT/SA-AD-89083041
POLARIS,RZR,XP,179900,2,https://soloautos.mx/usado/motos/POLARIS-RZR-XP-900CC-UN-DUEÑO/SA-AD-89103995
2016,Renault,Logan,158000,4,https://soloautos.mx/usado/autos/2016-Renault-Logan-Dynamique-AT/SA-AD-89053782
2015,Chevrolet,Spark,109500,4,https://soloautos.mx/usado/autos/2015-Chevrolet-Spark-LT-B-TM/SA-AD-89068157
