ubicación,precio,tamaño,habitaciones,baños,estacionamientos,link
 Fraccionamiento La Rioja,4350000,160,3 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+la+rioja-tlajomulco+de+zuniga-jalisco-2238124
 La Rioja,4980000,255,3 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1850338
 Fraccionamiento La Rioja,4600000,253,3 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+la+rioja-tlajomulco+de+zuniga-jalisco-2041403
 La Rioja,4400000,150,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-2087470
 La Rioja,3650000,130,4 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-1973321
 La Rioja,6200000,280,4 ,4.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-2227057
 La Rioja,5500000,248,4 ,3.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-2179702
 La Rioja,4300000,253,3 ,3.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2241498
 La Rioja,3700000,166,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-1637687
 La Rioja,5400000,248,4 ,4.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2133587
 La Rioja,5500000,296,4 ,5.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1993469
 La Rioja,4200000,240,3 ,4.5  ,0,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1993497
 La Rioja,4750000,260,3 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1993505
 Fraccionamiento La Rioja,3700000,166,3 ,2.5  ,0,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+la+rioja-tlajomulco+de+zuniga-jalisco-2146761
 La Rioja,5800000,260,4 ,6.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2170112
 La Rioja,4695000,253,4 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2004233
 La Rioja,6000000,284,4 ,4.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1956605
 La Rioja,5700000,253,4 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1977661
 La Rioja,7750000,356,4 ,4.5  , 5.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1950536
 La Rioja,5380000,253,4 ,4.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2125369
 La Rioja,4990000,255,3 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2176419
 La Rioja,4750000,294,4 ,4.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1909671
 La Rioja,7750000,355,4 ,4.0  , 5.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2227967
 La Rioja,6200000,280,4 ,4.5  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1994356
 Fraccionamiento La Rioja,4450000,266,3 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+la+rioja-tlajomulco+de+zuniga-jalisco-2161468
