ubicación,precio,tamaño,precio por metro, link
 Santa Rosa,14694978,41986,350.0,http://www.casasyterrenos.com/detalle-terreno/venta-santa+rosa-ixtlahuacan+de+los+membrillos-jalisco-45850-139856
 Parques Del Castillo,8740836,6723,1300.14,http://www.casasyterrenos.com/detalle-terreno/venta-parques+del+castillo-el+salto-jalisco-1745184
 Parques Santa Cruz Del Valle,37127788,18798,1975.09,http://www.casasyterrenos.com/detalle-terreno/venta-parques+santa+cruz+del+valle-tlaquepaque-jalisco-1745179
 El Palomar Secc Balcones,2865000,1244,2303.05,http://www.casasyterrenos.com/detalle-terreno/venta-el+palomar+secc+balcones-tlajomulco+de+zuniga-jalisco-2128204
 Pueblo Santa Cruz De Las Flores,7100000,2000,3550.0,http://www.casasyterrenos.com/detalle-terreno/venta-pueblo+santa+cruz+de+las+flores-tlajomulco+de+zuniga-jalisco-2012983
 San Jose Del Castillo,24500000,70000,350.0,http://www.casasyterrenos.com/detalle-terreno/venta-san+jose+del+castillo-el+salto-jalisco-2065784
 Pueblo Santa Cruz De Las Flores,3550000,1000,3550.0,http://www.casasyterrenos.com/detalle-terreno/venta-pueblo+santa+cruz+de+las+flores-tlajomulco+de+zuniga-jalisco-2160761
 San Pedro,33150000,20000,1657.5,http://www.casasyterrenos.com/detalle-terreno/venta-san+pedro-tlaquepaque-jalisco-1939721
 San Pedro,62055900,43548,1425.0,http://www.casasyterrenos.com/detalle-terreno/venta-san+pedro-tlaquepaque-jalisco-1939716
 Pueblo Santa Cruz De Las Flores,3550000,1000,3550.0,http://www.casasyterrenos.com/detalle-terreno/venta-pueblo+santa+cruz+de+las+flores-tlajomulco+de+zuniga-jalisco-2160747
 La Providencia,117000,90,1300.0,http://www.casasyterrenos.com/detalle-terreno/venta-la+providencia-tlajomulco+de+zuniga-jalisco-2012696
 Campo Sur,224000,160,1400.0,http://www.casasyterrenos.com/detalle-terreno/venta-campo+sur-tlajomulco+de+zuniga-jalisco-2012689
 La Providencia,117000,90,1300.0,http://www.casasyterrenos.com/detalle-terreno/venta-la+providencia-tlajomulco+de+zuniga-jalisco-2012668
 Lomas De Tejeda,14000000,25000,560.0,http://www.casasyterrenos.com/detalle-terreno/venta-lomas+de+tejeda-tlajomulco+de+zuniga-jalisco-2065700
 Toluquilla,22875000,3050,7500.0,http://www.casasyterrenos.com/detalle-terreno/venta-toluquilla-tlaquepaque-jalisco-2140832
 El Palomar Secc Bosques,2200000,939,2342.92,http://www.casasyterrenos.com/detalle-terreno/venta-el+palomar+secc+bosques-tlajomulco+de+zuniga-jalisco-2140804
 Toluquilla,17800000,3160,5632.91,http://www.casasyterrenos.com/detalle-terreno/venta-toluquilla-tlaquepaque-jalisco-45610-2001671
 Santa Cruz Del Valle,3400,1400,2.43,http://www.casasyterrenos.com/detalle-terreno/venta-santa+cruz+del+valle-tlajomulco+de+zuniga-jalisco-2108429
 Colonia Tlajomulco Centro,24000000,3,8000000.0,http://www.casasyterrenos.com/detalle-terreno/venta-tlajomulco+centro-tlajomulco+de+zuniga-jalisco-1495681
 Real Del Valle,304500,108,2819.44,http://www.casasyterrenos.com/detalle-terreno/venta-real+del+valle-tlajomulco+de+zuniga-jalisco-1904648
 Bugambilias,3744913,535,6999.84,http://www.casasyterrenos.com/detalle-terreno/venta-bugambilias-zapopan-jalisco-2158122
 Sin Nombre,20700000,69000,300.0,http://www.casasyterrenos.com/detalle-terreno/venta-sin+nombre-acatlan+de+juarez-jalisco-45700-1282184
 Buenavista,7433400,37167,200.0,http://www.casasyterrenos.com/detalle-terreno/venta-buenavista-tlajomulco+de+zuniga-jalisco-45640-1313051
 San Sebastian El Grande,12552000,13212,950.05,http://www.casasyterrenos.com/detalle-terreno/venta-san+sebastian+el+grande-tlajomulco+de+zuniga-jalisco-45640-1545695
 Buenavista,3100000,2121,1461.57,http://www.casasyterrenos.com/detalle-terreno/venta-buenavista-tlajomulco+de+zuniga-jalisco-45640-1910741
 Buenavista,4823968,10719,450.04,http://www.casasyterrenos.com/detalle-terreno/venta-buenavista-tlajomulco+de+zuniga-jalisco-45640-1913356
 Paseos Del Prado,139299600,126636,1100.0,http://www.casasyterrenos.com/detalle-terreno/venta-paseos+del+prado-tlaquepaque-jalisco-45610-1917226
 Cofradia,15445000,36000,429.03,http://www.casasyterrenos.com/detalle-terreno/venta-cofradia-tlajomulco+de+zuniga-jalisco-45640-2025905
 Ciudad Bugambilias,3360000,560,6000.0,http://www.casasyterrenos.com/detalle-terreno/venta-ciudad+bugambilias-zapopan-jalisco-45237-2126034
 Santa Cruz De Las Flores,36252000,10070,3600.0,http://www.casasyterrenos.com/detalle-terreno/venta-santa+cruz+de+las+flores-tlajomulco+de+zuniga-jalisco-45645-2062865
 San Agustin,47524563,17500,2715.69,http://www.casasyterrenos.com/detalle-terreno/venta-san+agustin-tlajomulco+de+zuniga-jalisco-1955357
 La Purisima,46560000,100000,465.6,http://www.casasyterrenos.com/detalle-terreno/venta-la+purisima-el+salto-jalisco-2127147
 La Purisima,34560000,70000,493.71,http://www.casasyterrenos.com/detalle-terreno/venta-la+purisima-el+salto-jalisco-2127140
 Real Del Valle,30000000,11500,2608.7,http://www.casasyterrenos.com/detalle-terreno/venta-real+del+valle-tlajomulco+de+zuniga-jalisco-2069095
 San Miguel Cuyutlan,390,74533,0.01,http://www.casasyterrenos.com/detalle-terreno/venta-san+miguel+cuyutlan-tlajomulco+de+zuniga-jalisco-2069074
 El Alcázar (casa Fuerte),1300000,220,5909.09,http://www.casasyterrenos.com/detalle-terreno/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-1639872
 Colonia Tlajomulco Centro,16500000,7529,2191.53,http://www.casasyterrenos.com/detalle-terreno/venta-tlajomulco+centro-tlajomulco+de+zuniga-jalisco-2122618
 Club De Golf Atlas,2950,2880,1.02,http://www.casasyterrenos.com/detalle-terreno/venta-club+de+golf+atlas-el+salto-jalisco-2007439
 Las Víboras (fraccionamiento Valle De Las Flores),330000,160,2062.5,http://www.casasyterrenos.com/detalle-terreno/venta-las+viboras+(fraccionamiento+valle+de+las+flores)-tlajomulco+de+zuniga-jalisco-1985903
 El Palomar Secc Panorámica,3313000,308,10756.49,http://www.casasyterrenos.com/detalle-terreno/venta-el+palomar+secc+panoramica-tlajomulco+de+zuniga-jalisco-1959153
 Cajititlan,1575,8254,0.19,http://www.casasyterrenos.com/detalle-terreno/venta-cajititlan-tlajomulco+de+zuniga-jalisco-1652954
 El Campanario,48300000,3450,14000.0,http://www.casasyterrenos.com/detalle-terreno/venta-el+campanario-zapopan-jalisco-45609-2159501
 Los Encinos,4180000,3800,1100.0,http://www.casasyterrenos.com/detalle-terreno/venta-los+encinos-tlajomulco+de+zuniga-jalisco-45653-1801653
 Habitacional Tejeda,950000,2000,475.0,http://www.casasyterrenos.com/detalle-terreno/venta-habitacional+tejeda-tlajomulco+de+zuniga-jalisco-45640-1767938
 San Sebastian El Grande,15356395,15512,989.97,http://www.casasyterrenos.com/detalle-terreno/venta-san+sebastian+el+grande-tlajomulco+de+zuniga-jalisco-45640-2036146
 San Agustin,96810000,27660,3500.0,http://www.casasyterrenos.com/detalle-terreno/venta-san+agustin-tlajomulco+de+zuniga-jalisco-45640-951749
 El Manantial,4000000,280,14285.71,http://www.casasyterrenos.com/detalle-terreno/venta-el+manantial-tlajomulco+de+zuniga-jalisco-45640-1312616
 Artesanos,63500000,31750,2000.0,http://www.casasyterrenos.com/detalle-terreno/venta-artesanos-tlaquepaque-jalisco-45598-1710010
 El Manantial,2500000,191,13089.01,http://www.casasyterrenos.com/detalle-terreno/venta-el+manantial-tlajomulco+de+zuniga-jalisco-45640-2097837
 El Manantial,6600000,449,14699.33,http://www.casasyterrenos.com/detalle-terreno/venta-el+manantial-tlajomulco+de+zuniga-jalisco-45640-2110172
 El Manantial,6600000,449,14699.33,http://www.casasyterrenos.com/detalle-terreno/venta-el+manantial-tlajomulco+de+zuniga-jalisco-45640-2125257
