ubicación,precio,tamaño,habitaciones,baños,estacionamientos,link
 El Origen,2450000,102,3 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+origen-tlajomulco+de+zuniga-jalisco-45645-2229185
 Santa Anita Camino Real,655000,67,2 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-santa+anita+camino+real-tlaquepaque-jalisco-45640-2076431
 El Manantial,10300000,432,4 ,4.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+manantial-tlajomulco+de+zuniga-jalisco-45640-2174235
 La Tijera,2350000,116,3 ,2.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+tijera-tlajomulco+de+zuniga-jalisco-45620-1995378
 Altea,1930000,102,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-altea-tlajomulco+de+zuniga-jalisco-45645-1995532
 Bosques De Santa Anita,1870000,102,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1747244
 Parques Del Bosque,1570000,105,2 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-parques+del+bosque-tlaquepaque-jalisco-45609-1913866
 Las Terrazas,860000,69,2 ,1.5  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-las+terrazas-tlaquepaque-jalisco-45610-2219287
 Lomas Del Sur,320000,50,3 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-lomas+del+sur-tlajomulco+de+zuniga-jalisco-45640-2215521
 Haciend Real,1090000,99,3 ,2.5  ,0,http://www.casasyterrenos.com/detalle-casa/venta-haciend+real-tonala-jalisco-2247518
 Residencial Jardines Del Eden,590000,68,2 ,2.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-residencial+jardines+del+eden-tlajomulco+de+zuniga-jalisco-45640-2247504
 Santa Fe,350000,80,2 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-santa+fe-tlajomulco+de+zuniga-jalisco-45640-2192743
 Punto Sur,4600000,145,3 ,4.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-punto+sur-tlajomulco+de+zuniga-jalisco-45645-1943831
 Fraccionamiento La Rioja,4350000,160,3 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+la+rioja-tlajomulco+de+zuniga-jalisco-2238124
 Bugambilias,4690000,300,3 ,3.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bugambilias-zapopan-jalisco-1444941
 Bugambilias,7450000,104,4 ,4.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bugambilias-zapopan-jalisco-2003890
 Geo Villas Los Olivos I,1300000,82,3 ,2.5  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-geo+villas+los+olivos+i-tlaquepaque-jalisco-45610-1999193
 Lomas De Santa Anita,4700000,300,3 ,3.0  , 6.0  ,http://www.casasyterrenos.com/detalle-casa/venta-lomas+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1859558
 Nueva Galicia,2300000,146,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-nueva+galicia-tlajomulco+de+zuniga-jalisco-45640-1801603
 Nueva Galicia Residencial,3400000,198,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-nueva+galicia+residencial-tlajomulco+de+zuniga-jalisco-45645-2247406
 Nueva Galicia,3150000,119,4 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-nueva+galicia-tlajomulco+de+zuniga-jalisco-45640-2157982
 Casa Fuerte,1890000,143,4 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-casa+fuerte-tlajomulco+de+zuniga-jalisco-45645-1289529
 El Campanario,1650000,122,4 ,2.5  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+campanario-zapopan-jalisco-45609-2227785
 Los Sauces,5100000,1500,6 ,6.5  , 12.0  ,http://www.casasyterrenos.com/detalle-casa/venta-los+sauces-tlajomulco+de+zuniga-jalisco-45640-474974
 Parques Del Bosque,1710000,81,4 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-parques+del+bosque-tlaquepaque-jalisco-45610-2072693
 Buenavista,1995000,1747,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-buenavista-ixtlahuacan+de+los+membrillos-jalisco-45850-2247364
 Fraccionamiento Sendero Las Moras,2590000,147,4 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+sendero+las+moras-tlajomulco+de+zuniga-jalisco-2247315
 El Origen,2090000,102,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+origen-tlajomulco+de+zuniga-jalisco-45645-1742959
 Del Pilar Residencial,3800000,170,3 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-del+pilar+residencial-tlajomulco+de+zuniga-jalisco-45640-1223006
